0000075443;-00019;-00045;-00321;-00018;-00045;-00322;-02795;02393;-01961;-03006;01694;-02142
0000075448;-00017;-00047;-00321;-00018;-00045;-00321;-03025;01655;-01871;-03000;01737;-02052
0000075482;-00022;-00046;-00308;-00021;-00046;-00318;-03297;01108;-02243;-03143;01560;-02021
0000075489;-00021;-00051;-00316;-00021;-00047;-00317;-03169;01802;-01729;-03192;01507;-02005
0000075496;-00020;-00047;-00315;-00021;-00047;-00316;-03307;01399;-02211;-03202;01543;-01935
0000075501;-00022;-00049;-00320;-00021;-00047;-00317;-03222;01209;-02234;-03231;01474;-01951
0000075516;-00019;-00050;-00314;-00021;-00047;-00315;-03204;01165;-02089;-03242;01395;-01998
0000075530;-00022;-00055;-00313;-00022;-00049;-00315;-03547;00875;-02022;-03324;01342;-01902
0000075542;-00020;-00054;-00316;-00021;-00049;-00314;-02919;01180;-02255;-03346;01282;-01896
0000075554;-00019;-00046;-00322;-00020;-00048;-00317;-02323;01770;-02802;-03023;01441;-02161
0000075559;-00017;-00048;-00323;-00019;-00048;-00318;-02901;01265;-02524;-02956;01445;-02255
0000075574;-00010;-00046;-00332;-00016;-00046;-00323;-02786;02083;-02384;-02819;01562;-02438
0000075588;-00005;-00039;-00330;-00011;-00042;-00324;-02805;01917;-01871;-02739;01772;-02314
0000075595;-00011;-00044;-00330;-00009;-00042;-00325;-02583;02121;-02378;-02818;01816;-02285
0000075639;-00003;-00041;-00320;-00005;-00041;-00322;-02590;01826;-02511;-02823;01920;-02323
0000075663;-00007;-00046;-00315;-00006;-00042;-00321;-03053;01662;-02065;-02987;01740;-02222
0000075672;-00007;-00050;-00320;-00006;-00043;-00321;-02894;01034;-02544;-02972;01617;-02252
0000075685;-00011;-00050;-00319;-00007;-00044;-00321;-02765;01968;-02178;-03030;01617;-02242
0000075692;-00008;-00052;-00320;-00008;-00046;-00321;-03460;00571;-03025;-03078;01375;-02381
0000075709;-00009;-00047;-00333;-00008;-00046;-00324;-02494;01017;-02952;-03068;01271;-02343
0000075723;-00012;-00042;-00327;-00008;-00045;-00326;-02913;01799;-02513;-02788;01572;-02465
0000075728;-00010;-00043;-00331;-00008;-00044;-00327;-02943;01891;-01988;-02831;01617;-02394
0000075759;-00011;-00049;-00325;-00009;-00045;-00326;-03041;01845;-02338;-02954;01736;-02279
0000075767;-00015;-00050;-00324;-00010;-00046;-00325;-02852;01590;-02765;-02944;01701;-02304
0000075771;-00014;-00044;-00325;-00010;-00046;-00325;-03002;01913;-02159;-02953;01721;-02351
0000075781;-00011;-00046;-00329;-00011;-00045;-00325;-03010;01174;-02757;-02960;01674;-02326
0000075793;-00009;-00054;-00331;-00011;-00046;-00325;-03172;01002;-02554;-03020;01635;-02273
0000075836;-00014;-00050;-00318;-00014;-00047;-00322;-02938;01747;-02073;-03082;01511;-02201
0000075863;-00018;-00054;-00322;-00015;-00049;-00321;-03664;00393;-02370;-03192;01262;-02155
0000075870;-00021;-00051;-00321;-00016;-00049;-00321;-03355;01805;-01645;-03277;01268;-02062
0000075904;-00006;-00036;-00321;-00013;-00048;-00322;-01890;02623;-02058;-02900;01312;-02382
0000075921;-00007;-00033;-00322;-00009;-00042;-00321;-02494;02249;-02122;-02867;01809;-02117
0000075930;-00007;-00039;-00318;-00008;-00041;-00320;-03023;02319;-01892;-02897;01918;-02093
0000075935;-00007;-00037;-00317;-00008;-00040;-00320;-02425;03038;-01467;-02838;02091;-02008
0000075947;-00005;-00039;-00321;-00007;-00038;-00320;-02896;01804;-02400;-02836;02082;-01990
0000075964;-00007;-00042;-00318;-00007;-00037;-00319;-03019;01990;-01944;-02820;02217;-01901
0000075974;-00009;-00042;-00321;-00006;-00037;-00319;-02760;02301;-01824;-02790;02369;-01851
0000075979;-00006;-00038;-00321;-00006;-00037;-00319;-02951;01875;-02140;-02815;02268;-01929
0000075984;-00009;-00036;-00310;-00006;-00037;-00318;-02760;02656;-01624;-02821;02309;-01885
0000075998;-00008;-00036;-00317;-00006;-00037;-00317;-02715;02674;-01479;-02849;02307;-01850
0000076020;-00007;-00041;-00318;-00006;-00037;-00318;-02819;01892;-02114;-02892;02249;-01841
0000076024;-00007;-00041;-00321;-00006;-00037;-00318;-03101;01983;-01971;-02920;02158;-01904
0000076066;-00011;-00036;-00322;-00009;-00038;-00317;-03030;01798;-01522;-03019;02185;-01632
0000076109;-00010;-00038;-00327;-00010;-00038;-00321;-02712;02151;-02208;-02692;02286;-02060
0000076143;-00016;-00039;-00326;-00012;-00038;-00321;-02994;01476;-02614;-02745;02271;-01961
0000076155;-00012;-00037;-00321;-00012;-00038;-00321;-03007;01764;-01941;-02759;02260;-01919
0000076232;-00018;-00048;-00326;-00016;-00045;-00321;-02146;01879;-02733;-02933;01772;-02197
0000076249;-00016;-00047;-00323;-00016;-00045;-00322;-03265;01582;-02278;-02947;01829;-02142
0000076299;-00013;-00045;-00318;-00017;-00047;-00321;-02945;02219;-01575;-03007;01733;-02101
0000076328;-00021;-00051;-00323;-00018;-00049;-00320;-03095;01626;-01986;-03079;01639;-02099
